country,national_lockdown_startdate,national_distancing_startdate,regional_lockdown_startdate,regional_lockdown_startdate2,regional_lockdown_startdate3,national_lockdown_enddate,regional_lockdown_enddate,note,source1,source2,source3,who
Alabama_US,2020-04-04,,,,,,,schools closed from 2020-03-18,https://www.aljazeera.com/news/2020/03/emergencies-closures-states-handling-coronavirus-200317213356419.html,https://abc3340.com/news/coronavirus/alabama-governor-orders-a-statewide-shelter-in-place,,fb
Algeria,,,2020-03-20,2020-03-27,,,,lockdown extended to 9 other provinces 2020-03-27,https://www.reuters.com/article/health-coronavirus-algeria-curfew/algeria-imposes-curfew-in-capital-idUSL8N2BG8QU,https://www.reuters.com/article/health-coronavirus-algeria/algeria-extends-curfew-to-nine-more-provinces-over-coronavirus-outbreak-idUSD5N2BI03A,,fb
Argentina,2020-03-20,,,,,,,,https://www.bloomberg.com/news/articles/2020-03-20/argentina-orders-exceptional-lockdown-in-bid-to-contain-virus,,,fb
Arizona_US,2020-03-31,,,,,,,schools closed from 2020-03-16,https://www.aljazeera.com/news/2020/03/emergencies-closures-states-handling-coronavirus-200317213356419.html,https://www.azdhs.gov/preparedness/epidemiology-disease-control/infectious-disease-epidemiology/index.php#novel-coronavirus-home,,fb
Austria,2020-03-16,,,,,,,,https://www.reuters.com/article/us-health-coronavirus-austria/austria-close-to-standstill-starts-biggest-repatriation-effort-ever-idUSKBN21427X,,,fb
Bangladesh,2020-03-26,,,,,,,,https://www.dhakatribune.com/bangladesh/2020/03/23/govt-offices-to-remain-closed-till-april-4,,,fb
Belgium,2020-03-18,,,,,,,,https://www.reuters.com/article/health-coronavirus-belgium-lockdown/belgium-to-impose-coronavirus-lockdown-from-march-18-at-1100-gmt-idUSB5N28S003,,,fb
Brazil,,,2020-03-17,2020-03-24,,,,,https://g1.globo.com/sc/santa-catarina/noticia/2020/03/29/casos-de-pacientes-com-coronavirus-sobe-para-197-em-sc-e-governo-prorroga-quarentena.ghtml,https://g1.globo.com/jornal-nacional/noticia/2020/03/21/governo-de-sao-paulo-decreta-quarentena-de-15-dias-em-todo-o-estado-por-causa-do-coronavirus.ghtml,,fb
British Columbia_Canada,,2020-03-17,,,,,,"schools restaurant bars closed, gatherings 50",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Canada#British_Columbia,https://www.cbc.ca/news/canada/british-columbia/closures-st-pats-vancouver-venues-1.5500472,,fb
California_US,2020-03-19,,,,,,,,https://www.wsj.com/articles/china-reports-no-new-domestic-coronavirus-infections-for-the-first-time-since-outbreak-started-11584611233,,,fb
Canada,,2020-03-23,,,,,,"no mandatory federal stay at home order, but PM asked Canadians on March 23 to stay at home (2nd link)",https://www.nationalobserver.com/2020/04/04/news/trudeau-rejects-invoking-mandatory-federal-stay-home-order,https://nationalpost.com/news/canada/covid-19-ontario-reports-78-new-cases-the-most-in-one-day-so-far,,ab
Chile,,2020-03-22,2020-03-26,2020-03-28,2020-04-01,,,night curfew; regional lockdowns,https://nationalpost.com/pmn/health-pmn/chile-announces-nationwide-nightly-curfew-coronavirus-cases-hit-632,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Chile,,fb
Colombia,2020-03-25,,,,,,,,https://www.theguardian.com/world/2020/mar/23/colombian-groups-exploiting-coronavirus-lockdown-to-kill-activists,https://www.elcolombiano.com/colombia/salud/cuarentena-por-coronavirus-en-colombia-se-amplia-hasta-el-27-de-abril-anuncia-duque-GC12765113,,fb
Colorado_US,2020-03-26,,,,,,,,https://www.cpr.org/2020/03/25/polis-announces-statewide-stay-at-home-order/,,,fb
Connecticut_US,2020-03-23,,,,,,,,https://portal.ct.gov/Office-of-the-Governor/News/Press-Releases/2020/03-2020/Governor-Lamont-Signs-Executive-Order-Asking-Connecticut-Businesses-and-Residents-Stay-Safe,,,fb
